sub_c,eval,bas,area,baths,area_room,kit,garage,porch,ex_eval,age_feat,utilities
7.0,10.0,99.84200415464638,1710.0,4.0,213.75,79931.74061433447,0.6506758077521055,61.0,2.9730604631816893,7.0,5.0
6.0,11.0,168.41339221363944,1262.0,3.0,210.33333333333334,35362.72108843538,0.6506758077521055,298.0,2.0,34.0,5.0
7.0,10.0,74.91490674340275,1786.0,4.0,297.6666666666667,79931.74061433447,0.6506758077521055,42.0,2.9730604631816893,8.507668151378624,5.0
3.0,10.0,26.67076223722716,1717.0,2.0,245.28571428571428,79931.74061433447,0.5784123404653423,307.0,2.0,67.92174832582434,4.0
7.0,11.0,109.3015058118971,2198.0,4.0,244.22222222222223,79931.74061433447,0.9760137116281583,276.0,2.9730604631816893,10.0,5.0
4.0,8.0,103.5189051575087,1362.0,3.0,272.4,35362.72108843538,0.5061488731785793,390.0,2.0,16.015336302757248,5.0
6.0,11.0,251.12446442408222,1694.0,3.0,242.0,79931.74061433447,0.6506758077521055,312.0,2.9730604631816893,5.507668151378624,5.0
7.0,10.0,125.99090305212664,2090.0,4.0,298.57142857142856,35362.72108843538,0.6506758077521055,667.0,2.0,37.0,5.0
4.0,10.0,0.0,1774.0,2.0,221.75,35362.72108843538,0.3856082269768949,295.0,2.0,69.64569487619386,3.0
2.0,8.0,106.25192269639938,1077.0,2.0,215.4,35362.72108843538,0.32533790387605277,4.0,2.0,65.58434966516486,5.0
6.0,8.0,93.01303959681374,1040.0,2.0,208.0,35362.72108843538,0.19280411348844745,0.0,2.0,45.0,5.0
7.0,12.0,157.6671990297285,2324.0,4.0,211.27272727272728,92690.0,1.102398628837184,168.0,3.9461209263633785,4.507668151378624,5.0
6.0,8.0,86.566581807395,912.0,2.0,228.0,35362.72108843538,0.19280411348844745,316.0,2.0,48.0,4.0
6.0,10.0,0.0,1494.0,2.0,213.42857142857142,79931.74061433447,0.9760137116281583,193.0,2.9730604631816893,3.5076681513786245,5.0
6.0,9.0,80.6745105816176,1253.0,3.0,250.6,35362.72108843538,0.32533790387605277,389.0,2.0,50.0,4.0
1.0,12.0,0.0,854.0,1.0,170.8,35362.72108843538,0.3856082269768949,160.0,2.0,45.552106899260956,4.0
6.0,10.0,67.89075208232607,1004.0,2.0,200.8,35362.72108843538,0.7952027423256317,0.0,2.0,40.0,5.0
2.0,7.0,0.0,1296.0,2.0,216.0,35362.72108843538,0.20479725767436838,0.0,2.0,43.0,4.0
6.0,8.0,80.65657116553936,1114.0,3.0,185.66666666666666,79931.74061433447,0.3856082269768949,102.0,2.0,6.0,5.0
6.0,8.0,48.014101486286116,1339.0,1.0,223.16666666666666,35362.72108843538,0.25307443658928963,0.0,2.0,48.55367705965037,4.0
7.0,11.0,0.0,2376.0,4.0,264.0,79931.74061433447,0.885608226976895,394.0,2.9730604631816893,4.507668151378624,5.0
1.0,11.0,0.0,1108.0,1.0,184.66666666666666,79931.74061433447,0.25307443658928963,205.0,2.0,70.15336302757248,4.0
6.0,11.0,0.0,1795.0,2.0,256.42857142857144,79931.74061433447,0.6506758077521055,330.0,2.9730604631816893,8.0,5.0
3.0,9.0,118.79218624632146,1060.0,2.0,176.66666666666666,35362.72108843538,0.5061488731785793,210.0,2.0,34.0,4.0
6.0,10.0,19.967955992747417,1060.0,2.0,176.66666666666666,79931.74061433447,0.25307443658928963,496.0,2.0269395368183107,25.753048995494602,5.0
6.0,11.0,0.0,1600.0,2.0,228.57142857142858,79931.74061433447,0.9760137116281583,56.0,2.9730604631816893,3.0,5.0
6.0,9.0,27.979070425374076,900.0,2.0,180.0,79931.74061433447,0.3856082269768949,254.0,2.0,34.875739417552595,4.0
6.0,11.0,192.42349540902737,1704.0,3.0,243.42857142857142,79931.74061433447,0.9760137116281583,50.0,2.9730604631816893,2.5076681513786245,5.0
6.0,8.0,189.30326123509664,1600.0,2.0,266.6666666666667,35362.72108843538,0.32533790387605277,546.0,2.0,33.30672605514497,4.0
1.0,7.0,0.0,520.0,1.0,130.0,43420.51282051282,0.19280411348844745,136.0,2.0,71.67636748170837,2.0
3.0,6.0,0.0,1317.0,1.0,219.5,35362.72108843538,0.19280411348844745,226.0,1.9730604631816893,75.23004454135874,3.0
6.0,8.0,0.0,1228.0,2.0,204.66666666666666,79931.74061433447,0.25307443658928963,65.0,2.0,24.306726055144974,4.0
6.0,11.0,0.0,1234.0,2.0,176.28571428571428,79931.74061433447,0.6506758077521055,30.0,2.9730604631816893,3.0,5.0
6.0,8.0,104.5113402975236,1700.0,3.0,283.3333333333333,79931.74061433447,0.6506758077521055,38.0,2.0,51.0,4.0
3.0,12.0,182.15458966059816,1561.0,3.0,260.1666666666667,92690.0,0.7952027423256317,250.0,3.9461209263633785,5.0,5.0
7.0,11.0,0.0,2452.0,4.0,272.44444444444446,79931.74061433447,1.102398628837184,145.0,2.9730604631816893,5.507668151378624,5.0
6.0,8.0,0.0,1097.0,2.0,182.83333333333334,35362.72108843538,0.5061488731785793,456.0,2.0,15.507668151378624,5.0
6.0,8.0,124.53070312465239,1297.0,2.0,259.4,35362.72108843538,0.7952027423256317,0.0,2.0,38.27605344963048,4.0
6.0,9.0,91.26927789784718,1057.0,2.0,211.4,79931.74061433447,0.19280411348844745,52.0,2.0269395368183107,30.414080174445715,4.0
2.0,7.0,0.0,1152.0,2.0,192.0,43420.51282051282,0.0,0.0,2.0,55.0,2.0
6.0,9.0,66.01256562996825,1324.0,2.0,220.66666666666666,35362.72108843538,0.6506758077521055,138.0,2.0,45.0,5.0
6.0,8.0,143.3486715852298,1328.0,3.0,265.6,35362.72108843538,0.32533790387605277,104.0,2.0269395368183107,51.0,4.0
1.0,9.0,119.03189336333787,884.0,2.0,176.8,79931.74061433447,0.6506758077521055,240.0,2.0,27.0,4.0
6.0,8.0,37.42474561943218,938.0,2.0,187.6,35362.72108843538,0.19280411348844745,145.0,2.0,32.53834075689312,4.0
6.0,8.0,19.979437533470726,1150.0,2.0,191.66666666666666,35362.72108843538,0.32533790387605277,0.0,2.0,51.0,4.0
3.0,12.0,72.04032340436493,1752.0,3.0,292.0,92690.0,0.6506758077521055,278.0,3.9461209263633785,5.0,5.0
4.0,10.0,213.43525640196714,2149.0,3.0,358.1666666666667,79931.74061433447,0.6506758077521055,409.0,2.9730604631816893,7.0,5.0
6.0,11.0,4.004940670970275,1656.0,2.0,236.57142857142858,79931.74061433447,0.9760137116281583,146.0,2.9730604631816893,4.0,5.0
2.0,7.0,0.0,1452.0,2.0,181.5,35362.72108843538,0.0,102.0,2.0,46.67479732131894,4.0
6.0,9.0,83.97633229709989,955.0,2.0,159.16666666666666,35362.72108843538,0.25307443658928963,0.0,2.0,44.0,5.0
7.0,9.0,30.370800088191256,1470.0,3.0,245.0,35362.72108843538,0.7952027423256317,75.0,2.0,13.0,4.0
