Id,SalePrice
1461,100957.69830240482
1462,168377.5109742172
1463,191158.3389606262
1464,203817.26991361487
1465,205264.7768014593
1466,189954.42315997605
1467,200263.39191219647
1468,185138.54242641752
1469,178022.72183503312
1470,137724.47284571166
1471,212114.7601639367
1472,109929.15147176145
1473,108999.24235120686
1474,166154.8109206161
1475,118148.37939654136
1476,320969.6619494625
1477,233115.13756775775
1478,258644.65039347782
1479,252779.0149391158
1480,356024.6987679191
1481,302757.0637436096
1482,202460.39208434435
1483,195866.7197021571
1484,190185.9589931459
1485,207858.8601774201
1486,219903.17652467417
1487,300621.6887992342
1488,236425.2501462493
1489,197210.85671670077
1490,218575.59873498906
1491,213770.5836689592
1492,83279.2719849804
1493,169688.99339936927
1494,279165.1650392392
1495,299608.4377690228
1496,234507.2339212479
1497,209712.85468344652
1498,175092.42173899227
1499,178551.26351310863
1500,162358.69800559845
1501,176507.27616715376
1502,179469.65713135852
1503,255652.195269593
1504,242012.5664518767
1505,214676.01705120975
1506,199464.57211249022
1507,247632.27360705892
1508,200383.64777802431
1509,179724.12852210892
1510,154463.85617555515
1511,169632.75361341136
1512,176655.30536323876
1513,165655.88718840975
1514,179789.66330226793
1515,223692.609047055
1516,157330.18299827937
1517,161594.44525135928
1518,135006.3308507512
1519,231690.127704117
1520,139722.90023510496
1521,140927.35307655673
1522,170917.19131996785
1523,110362.78168361906
1524,121235.07170576876
1525,127608.73010676274
1526,114290.48731246522
1527,108160.76720868747
1528,144742.33369879954
1529,138388.33898530234
1530,185610.43298401206
1531,134771.0983386397
1532,87362.23037297453
1533,159221.9722996314
1534,126135.19966758866
1535,148513.37827465625
1536,108164.39865984573
1537,43903.18537215478
1538,200079.0430389609
1539,246982.68362636288
1540,127391.23760802965
1541,161755.72747434594
1542,132285.8082375586
1543,201725.48515670185
1544,80667.94558002535
1545,134343.6722991809
1546,137202.0576001735
1547,125987.6378003723
1548,147996.44233247146
1549,145516.60126776213
1550,145286.7188295664
1551,96207.15606848913
1552,146112.8418701181
1553,168193.26987044257
1554,144334.3671645284
1555,147748.32472754017
1556,92542.02961802331
1557,99378.45043940672
1558,110934.28652242287
1559,90812.04034754547
1560,159295.15129007082
1561,91308.02242344659
1562,122027.60650103437
1563,95998.30026969887
1564,171527.048533317
1565,151562.75080334104
1566,228304.58776465568
1567,61654.32327441864
1568,223196.33619837573
1569,112690.8098943861
1570,139283.13185034005
1571,101345.89525542167
1572,155949.20493423825
1573,245872.8909132054
1574,114762.18866114022
1575,225869.50931276524
1576,234128.75240131147
1577,189638.7973574359
1578,164265.69704648413
1579,137076.71933236142
1580,192542.95292225914
1581,154645.49800513108
1582,115558.32812412137
1583,286520.3194306199
1584,241853.8525754516
1585,174498.46819873652
1586,45747.3591780744
1587,104270.93079421991
1588,134372.46629214165
1589,111011.0850524596
1590,123173.2637473913
1591,81228.42274884357
1592,102418.78913461519
1593,110485.40997166904
1594,162372.43140017297
1595,92816.92367099901
1596,204160.46755294583
1597,173067.7566088077
1598,184788.42964055305
1599,213645.16600317563
1600,188407.17251913162
1601,46746.06880942339
1602,123442.42840504578
1603,76335.51916742758
1604,253893.9039378576
1605,249256.29652782093
1606,167749.7159084515
1607,161622.0737619692
1608,230972.84445245747
1609,186177.01354137034
1610,164409.88082516356
1611,136369.34786449617
1612,159634.47747216886
1613,139165.18237488874
1614,130738.77159995359
1615,92511.20259941429
1616,68252.52180756541
1617,92031.59333429487
1618,115472.24842497398
1619,135746.39281480416
1620,172405.10308578107
1621,137486.3373004839
1622,153830.00408784143
1623,248122.32537702998
1624,228607.08965782187
1625,121101.78459777839
1626,180513.3953749596
1627,203608.79227795074
1628,304672.9710672431
1629,188441.0949016412
1630,306613.29326463933
1631,197238.08981598378
1632,238472.42125481222
1633,199876.85632231802
1634,209904.99600250108
1635,197859.55901525595
1636,148146.42384737375
1637,184400.59377551253
1638,201154.00135434387
1639,182985.38326728824
1640,259208.71679958267
1641,201990.04673868424
1642,231127.83681143567
1643,235329.98497765756
1644,239863.3283676912
1645,177327.8758638326
1646,171966.8098711875
1647,169868.1829561812
1648,140845.88948386395
1649,132029.90470578917
1650,121835.35460418658
1651,112778.02042388068
1652,108491.21618045766
1653,106772.03984310965
1654,157968.95296933642
1655,156770.55053828648
1656,155727.64209894088
1657,160626.52440831938
1658,197635.83113343443
1659,122607.10196320407
1660,187331.61397718493
1661,351452.98253507866
1662,326780.7801110159
1663,305880.3727813567
1664,386566.9910255608
1665,273800.20748004795
1666,293321.15073285974
1667,309999.6669879936
1668,299236.513224046
1669,290564.97586727026
1670,312691.5061183785
1671,245240.23122907645
1672,353512.11758906784
1673,289877.1056613462
1674,239856.70327021182
1675,196172.64458098047
1676,189780.42360385146
1677,212268.221128835
1678,368638.0176985896
1679,313192.6096848957
1680,287702.35673862754
1681,241787.12609310946
1682,264780.2255134794
1683,197146.1083866221
1684,203059.9250695272
1685,206298.3134679241
1686,190311.0135116815
1687,199577.08909549186
1688,213856.84250039465
1689,215820.318393227
1690,229692.2248318193
1691,211796.12386171668
